main_sound,level,hanja,meaning
고,1급,錮,막을
고,특급Ⅱ,菰,줄풀
고,특급Ⅱ,藁,짚
고,특급Ⅱ,蠱,독벌레
고,특급Ⅱ,誥,깨우칠
고,특급Ⅱ,羔,새끼양
고,특급Ⅱ,沽,살
고,특급Ⅱ,槁,마를
고,특급Ⅱ,暠,밝을
고,특급Ⅱ,攷,상고할考
고,특급Ⅱ,尻,꽁무니
고,특급Ⅱ,苽,줄
고,특급Ⅱ,睾,불알
고,특급,翶,노닐
고,특급,楛,거칠
고,특급,槀,마른나무
고,특급,櫜,칼집
고,특급,盬,짠못
고,특급,瞽,소경
고,특급,罟,그물
고,특급,羖,염소
고,특급,栲,북나무
고,특급,杲,밝을
고,특급,刳,가를
고,특급,鼛,큰북
고,특급,稾,원고
고,특급,罛,큰물고기그물
고,특급,觚,술잔
고,특급,酤,단술
고,특급,熇,말릴
곡,5급,曲,굽을
곡,4급,穀,곡식
곡,3급Ⅱ,哭,울
곡,3급Ⅱ,谷,골
곡,1급,梏,수갑
곡,1급,鵠,고니
곡,특급Ⅱ,斛,휘
곡,특급,觳,곱송그릴
곡,특급,轂,수레바퀴통
곡,특급,牿,외양간
곤,4급,困,곤할
곤,3급,坤,따
곤,1급,昆,맏
곤,1급,棍,몽둥이
곤,1급,袞,곤룡포
곤,특급Ⅱ,琨,옥돌
곤,특급Ⅱ,鯤,곤어
곤,특급Ⅱ,滾,넘쳐흐를
곤,특급Ⅱ,梱,문지방
곤,특급Ⅱ,崑,산이름
곤,특급,髡,머리깎을
곤,특급,棞,문지방
곤,특급,錕,붉은쇠
곤,특급,緄,띠
곤,특급,鯀,큰물고기
골,4급,骨,뼈
골,1급,汨,골몰할
공,7급Ⅱ,工,장인
공,7급Ⅱ,空,빌
공,6급Ⅱ,公,공평할
공,6급Ⅱ,共,한가지
공,6급Ⅱ,功,공勳
공,4급,孔,구멍
공,4급,攻,칠擊
공,3급Ⅱ,貢,바칠
공,3급Ⅱ,供,이바지할
공,3급Ⅱ,恐,두려울
공,3급Ⅱ,恭,공손할
공,1급,鞏,굳을
공,1급,拱,팔짱낄
공,특급Ⅱ,控,당길
공,특급Ⅱ,蚣,지네
공,특급Ⅱ,珙,큰옥
공,특급,悾,정성
공,특급,邛,수고할
과,6급Ⅱ,果,실과
과,6급Ⅱ,科,과목
과,5급Ⅱ,課,공부할
과,5급Ⅱ,過,지날
과,3급Ⅱ,誇,자랑할
과,3급Ⅱ,寡,적을
과,2급,菓,과자 과
과,2급,戈,창
과,2급,瓜,외
과,1급,顆,낱알
과,특급Ⅱ,鍋,노구솥
